   x    ||     y
   -1   ||   0,2605   
   -0,9   ||   0,2495   
   -0,8   ||   0,2312   
   -0,7   ||   0,2061   
   -0,6   ||   0,175   
   -0,5   ||   0,1394   
   -0,4   ||   0,1017   
   -0,3   ||   0,0647   
   -0,2   ||   0,0323   
   -0,1   ||   0,009   
   0   ||   0   
   0,1   ||   0,011   
   0,2   ||   0,0482   
   0,3   ||   0,1179   
   0,4   ||   0,2262   
   0,5   ||   0,379   
   0,6   ||   0,5809   
   0,7   ||   0,8357   
   0,8   ||   1,1453   
   0,9   ||   1,5092   
   1   ||   1,9247   
